LAT,LON,YEAR,MO,DY,PRECTOTCORR,T2M,ALLSKY_KT,ALLSKY_SFC_SW_DWN,RH2M
2.5,-72.5,2022,1,1,0.0,26.07,0.66,6.34,87.41
3.5,-72.5,2022,1,1,0.0,28.11,0.63,5.95,64.15
4.5,-72.5,2022,1,1,0.0,30.27,0.62,5.78,44.33
5.5,-72.5,2022,1,1,0.0,19.74,0.6,5.5,68.82
6.5,-72.5,2022,1,1,0.0,12.2,0.53,4.82,78.73
2.5,-72.5,2022,1,2,0.0,25.28,0.67,6.4,86.34
3.5,-72.5,2022,1,2,0.0,27.52,0.67,6.35,59.08
4.5,-72.5,2022,1,2,0.0,30.06,0.64,5.98,44.01
5.5,-72.5,2022,1,2,0.0,19.42,0.67,6.22,61.26
6.5,-72.5,2022,1,2,0.0,10.86,0.66,5.98,73.66
2.5,-72.5,2022,1,3,0.0,24.73,0.68,6.57,85.11
3.5,-72.5,2022,1,3,0.0,27.37,0.67,6.39,55.18
4.5,-72.5,2022,1,3,0.0,29.92,0.71,6.63,42.3
5.5,-72.5,2022,1,3,0.0,19.3,0.73,6.78,60.99
6.5,-72.5,2022,1,3,0.0,10.8,0.72,6.53,70.39
2.5,-72.5,2022,1,4,0.0,25.04,0.72,6.92,84.56
3.5,-72.5,2022,1,4,0.0,27.97,0.7,6.65,54.14
4.5,-72.5,2022,1,4,0.0,30.53,0.66,6.17,40.14
5.5,-72.5,2022,1,4,0.0,18.85,0.69,6.36,62.81
6.5,-72.5,2022,1,4,0.0,10.49,0.7,6.42,75.48
2.5,-72.5,2022,1,5,0.0,24.83,0.72,6.99,81.85
3.5,-72.5,2022,1,5,0.0,27.74,0.72,6.83,50.46
4.5,-72.5,2022,1,5,0.0,30.13,0.7,6.54,36.76
5.5,-72.5,2022,1,5,0.0,18.95,0.68,6.31,55.7
6.5,-72.5,2022,1,5,0.0,10.25,0.71,6.46,67.32
2.5,-72.5,2022,1,6,0.0,25.08,0.67,6.45,83.89
3.5,-72.5,2022,1,6,0.0,27.38,0.67,6.37,59.09
4.5,-72.5,2022,1,6,0.0,30.26,0.7,6.63,37.98
5.5,-72.5,2022,1,6,0.0,19.03,0.71,6.61,59.89
6.5,-72.5,2022,1,6,0.0,10.72,0.7,6.4,74.69
2.5,-72.5,2022,1,7,0.0,25.2,0.63,6.04,84.49
3.5,-72.5,2022,1,7,0.0,28.09,0.63,5.99,65.82
4.5,-72.5,2022,1,7,0.0,30.78,0.67,6.31,38.97
5.5,-72.5,2022,1,7,0.0,19.67,0.6,5.6,60.34
6.5,-72.5,2022,1,7,0.0,11.69,0.43,3.98,77.23
2.5,-72.5,2022,1,8,0.24,26.42,0.63,6.11,85.53
3.5,-72.5,2022,1,8,0.18,29.24,0.65,6.19,61.03
4.5,-72.5,2022,1,8,0.12,31.8,0.64,6.02,37.36
5.5,-72.5,2022,1,8,0.09,21.01,0.55,5.1,58.23
6.5,-72.5,2022,1,8,0.1,12.51,0.42,3.89,76.2
2.5,-72.5,2022,1,9,0.03,25.0,0.6,5.84,84.33
3.5,-72.5,2022,1,9,0.1,27.79,0.57,5.42,55.12
4.5,-72.5,2022,1,9,0.11,30.9,0.47,4.47,37.63
5.5,-72.5,2022,1,9,0.07,19.87,0.49,4.55,62.23
6.5,-72.5,2022,1,9,0.02,12.64,0.49,4.51,76.6
2.5,-72.5,2022,1,10,0.0,24.75,0.59,5.76,85.82
3.5,-72.5,2022,1,10,0.0,27.88,0.53,5.04,56.97
4.5,-72.5,2022,1,10,0.0,30.69,0.52,4.87,39.37
5.5,-72.5,2022,1,10,0.0,19.49,0.46,4.33,65.96
6.5,-72.5,2022,1,10,0.0,12.76,0.48,4.38,75.26
2.5,-72.5,2022,1,11,0.15,25.38,0.56,5.41,87.16
3.5,-72.5,2022,1,11,0.0,28.47,0.55,5.32,58.91
4.5,-72.5,2022,1,11,0.01,31.6,0.46,4.35,38.66
5.5,-72.5,2022,1,11,0.17,20.24,0.35,3.3,65.47
6.5,-72.5,2022,1,11,0.23,13.5,0.4,3.68,76.65
2.5,-72.5,2022,1,12,0.24,25.64,0.62,6.02,88.19
3.5,-72.5,2022,1,12,0.0,28.65,0.62,5.92,60.47
4.5,-72.5,2022,1,12,0.0,31.83,0.58,5.49,36.15
5.5,-72.5,2022,1,12,0.11,19.72,0.39,3.62,65.79
6.5,-72.5,2022,1,12,0.18,13.22,0.44,4.08,79.12
2.5,-72.5,2022,1,13,3.78,25.23,0.52,5.08,90.26
3.5,-72.5,2022,1,13,3.53,27.63,0.5,4.79,67.0
4.5,-72.5,2022,1,13,3.01,30.07,0.55,5.26,45.29
5.5,-72.5,2022,1,13,3.81,19.48,0.44,4.09,69.64
6.5,-72.5,2022,1,13,4.48,12.65,0.44,4.03,81.17
2.5,-72.5,2022,1,14,0.69,25.38,0.55,5.34,88.42
3.5,-72.5,2022,1,14,0.49,27.81,0.49,4.73,71.22
4.5,-72.5,2022,1,14,0.34,30.42,0.52,4.93,50.35
5.5,-72.5,2022,1,14,1.61,19.76,0.48,4.54,71.11
6.5,-72.5,2022,1,14,2.05,11.59,0.46,4.27,83.76
2.5,-72.5,2022,1,15,0.11,24.2,0.47,4.57,92.07
3.5,-72.5,2022,1,15,0.2,27.09,0.46,4.47,75.9
4.5,-72.5,2022,1,15,0.27,30.59,0.52,4.98,48.94
5.5,-72.5,2022,1,15,0.12,20.26,0.53,5.0,63.94
6.5,-72.5,2022,1,15,0.11,11.66,0.53,4.88,77.85
2.5,-72.5,2022,1,16,10.41,25.07,0.39,3.82,91.24
3.5,-72.5,2022,1,16,11.19,26.77,0.41,4.0,79.53
4.5,-72.5,2022,1,16,10.66,28.82,0.46,4.35,63.59
5.5,-72.5,2022,1,16,6.34,19.83,0.45,4.21,73.74
6.5,-72.5,2022,1,16,0.2,12.53,0.49,4.52,80.26
2.5,-72.5,2022,1,17,5.74,25.64,0.55,5.43,90.41
3.5,-72.5,2022,1,17,9.92,26.57,0.5,4.83,81.87
4.5,-72.5,2022,1,17,8.15,27.18,0.52,5.01,76.22
5.5,-72.5,2022,1,17,2.6,19.12,0.49,4.64,85.3
6.5,-72.5,2022,1,17,0.84,12.94,0.44,4.14,82.43
2.5,-72.5,2022,1,18,15.76,25.07,0.45,4.36,92.9
3.5,-72.5,2022,1,18,20.46,26.79,0.37,3.62,79.56
4.5,-72.5,2022,1,18,18.04,28.13,0.38,3.6,70.68
5.5,-72.5,2022,1,18,8.51,19.03,0.37,3.46,80.52
6.5,-72.5,2022,1,18,0.41,12.44,0.44,4.11,81.51
2.5,-72.5,2022,1,19,0.4,25.55,0.59,5.78,86.21
3.5,-72.5,2022,1,19,0.56,27.28,0.59,5.76,70.53
4.5,-72.5,2022,1,19,0.69,28.76,0.62,5.9,59.77
5.5,-72.5,2022,1,19,0.09,19.61,0.57,5.42,71.54
6.5,-72.5,2022,1,19,0.0,12.27,0.53,4.95,77.26
2.5,-72.5,2022,1,20,0.02,25.7,0.47,4.65,84.28
3.5,-72.5,2022,1,20,0.0,26.96,0.48,4.69,72.49
4.5,-72.5,2022,1,20,0.0,28.22,0.54,5.23,61.51
5.5,-72.5,2022,1,20,0.0,19.8,0.57,5.39,72.18
6.5,-72.5,2022,1,20,0.0,12.46,0.56,5.23,77.35
2.5,-72.5,2022,1,21,0.0,25.85,0.37,3.65,85.97
3.5,-72.5,2022,1,21,0.0,28.13,0.39,3.78,67.52
4.5,-72.5,2022,1,21,0.0,29.79,0.57,5.52,56.07
5.5,-72.5,2022,1,21,0.05,20.48,0.55,5.22,69.91
6.5,-72.5,2022,1,21,0.11,12.82,0.55,5.19,77.01
2.5,-72.5,2022,1,22,0.13,25.84,0.55,5.39,90.21
3.5,-72.5,2022,1,22,0.21,28.32,0.57,5.51,72.72
4.5,-72.5,2022,1,22,0.31,30.47,0.63,6.07,56.3
5.5,-72.5,2022,1,22,0.55,20.74,0.6,5.74,70.21
6.5,-72.5,2022,1,22,0.05,12.72,0.55,5.2,78.68
